variable_name,Description,Crushing,Classification,Grinding,Dewatering,Sulfate Roasting,Water Leaching,Impurity Removal and Neutralization,Clarification
step_id,Step ID (unique),crushing,classifying,grinding,dewatering,sulfate_roasting,water_leach,impurity_removal,stream_clarification
step_name,Human-readable process step,Crushing,Classification,Grinding via mill,Dewatering to allow for high-temp roasting,Roasting of lepidolate with sulfate salts,Water leaching,Impurity Removal,Lithium Stream Clarification
key_equation,"Key equation, chemical or physical, evaluated in this step.",N/A (mechanical),N/A (size separation),N/A (mechanical).,Mechanical dewatering from 60% to 80% slurry.,,,"Impurity precipitation / neutralization, e.g. Fe³⁺ + 3OH⁻ → Fe(OH)₃(s); Mg²⁺ + CO₃²⁻ → MgCO₃(s); Ca²⁺ + CO₃²⁻ → CaCO₃(s); Al³⁺ + 3OH⁻ → Al(OH)₃(s). Lithium remains mostly in solution.",
notes,"Key information, notes","Primary & secondary crushing, generates crushed ore for wet circuit",Hydrocyclones+screens to split coarse vs fine; assume coarse refeed to achieve input/output; fines feed thickener,,"Go from 40% water slurry to 20% water cake. 60% slurry has density of 1/(0.60/2.7+0.4/1) = 1.607 --> 0.6*1.607 = 0.965 t/m3 solids. At 80% cake, new density is 0.964/0.8 = 1.205 t/m3; water goes from 0.643 t/m3 --> 0.241 t/m3, or ~0.4 t/m3≈0.4 m3/m3 water removed from intermediate slurry ",,,"Chemical removal of impurities (Mg, Ca, Fe, Al, etc.) via pH adjustment and precipitation; produces purified Li solution for downstream recovery and an impurity sludge for disposal.",
machine_options,,crushing_cycle.conservative; crushing_cycle.midpoint; crushing_cycle.optimistic,classifier_generic.conservative; classifier_generic.midpoint; classifier_generic.optimistic,high_energy_grinding_mill,presser,sulfate_roasting_train_lepidolite,water_leach,staged_neutralization,solid_liquid_separation
machine_default,,crushing_cycle.midpoint,classifier_generic.midpoint,high_energy_grinding_mill,presser,sulfate_roasting_train_lepidolite,water_leach,staged_neutralization,solid_liquid_separation
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from,crushed_ore_throughput,classified_slurry_throughput,slurry_being_ground,slurry_press_throughput,roasting_mix,leaching_slurry,pregnant_solution_throughput,mixture_being_separated
step_basis_unit,,tonnes crushed ore,m^3 slurry,m^3 slurry (60% density),m^3 slurry being pressed into cake,"tonnes (80% solids cake being dried, roasted, and cooled)",m^3 20% solid slurry,m^3 raw pregnant leach solution,m^3 pregant leach solution to be clarified
volume_defining_basis,"Are we converting from the step basis, or a constituent (extent) of the process basis?",crushed_ore_throughput,classified_slurry_throughput,slurry_being_ground,slurry_press_throughput,roasting_mix,leaching_slurry,pregnant_solution_throughput,mixture_being_separated
volume_defining_basis_unit,What unit is the process volume or constituent in?,tonnes,m^3,m^3,m^3,tonnes,m^3,m^3,m^3
volume_defining_output,What is the output or output constituent that needs to be converted to,crushed_ore,classified_slurry,ground_slurry,roaster_feed,roasted_mix,pregnant_leach_solution,neutralized_pls,brine_post_polishing
volume_defining_output_unit,What unit is that output in?,tonnes,m^3,m^3,m^3,tonnes,m^3,m^3,L
primary_input_1_name,,rom_ore_feed,crushed_ore,classified_slurry,ground_slurry,roaster_feed,roasted_mix,pregnant_leach_solution,neutralized_pls
primary_input_1_units,Units after conversion is applied,m^3,tonnes,m^3,m^3,tonnes,tonnes,,m^3
primary_input_1_conversion_factor,Conversion factor of input into step basis. (Input * CF = Basis) ,2.7,2.7037,1.000,1.000,1.265,4.37,1,1
primary_input_1_constituents,Names of input constituents,Li,Li,Li,Li,Li,Li,Li,Li
primary_input_1_constituent_fractions,Values of input constituents,,,,,,,,
primary_input_1_constituent_units,Units for each input constituent,,,,,,,,
primary_input_1_chemistry_dependence,Does the chemistry for this primary input depend on an output of the previous step? ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
reagent_1_name,Reagent name,,process_water,,,sodium_sulfate,process_water,neutralizing_agent,
reagent_1_name_long,Long/descriptive reagent name,,Water to be added to allow for classification via hydrocyclone,,,Sodium sulfate (Na2SO4),Water to be for leaching,Lime / limestone / NaOH / similar reagents mix for impurity precipitation and pH control.,
reagent_1_target_constituents,,,classified_slurry_throughput,,,Li,leaching_slurry,pregnant_solution_throughput,
reagent_1_constituent_ratio,Reagent per target (e.g. kg/kg),,0.863,,,12.27,0.915,2.500,
reagent_1_target_constituents_eliminated,Fraction of constituent eliminated by target,,0,,,0,0,0,
reagent_1_units,,,m^3/m^3 classified slurry,,,g/g Li,m^3/m^3 classified slurry,kg/m^3 solution,
reagent_2_name,Reagent name,,,,,,,,
reagent_2_name_long,Long/descriptive reagent name,,,,,,,,
reagent_2_target_constituents,,,,,,,,,
reagent_2_constituent_ratio,Reagent per target (e.g. kg/kg),,,,,,,,
reagent_2_target_constituents_eliminated,Fraction of constituent eliminated by target,,,,,,,,
reagent_2_units,,,,,,,,,
reagent_3_name,Reagent name,,,,,,,,
reagent_3_name_long,Long/descriptive reagent name,,,,,,,,
reagent_3_target_constituents,,,,,,,,,
reagent_3_constituent_ratio,Reagent per target (e.g. kg/kg),,,,,,,,
reagent_3_target_constituents_eliminated,Fraction of constituent eliminated by target,,,,,,,,
reagent_3_units,,,,,,,,,
primary_output_1_name,Output stream/material,crushed_ore,classified_slurry,ground_slurry,roaster_feed,roasted_mix,pregnant_leach_solution,neutralized_pls,brine_post_polishing
