machine_block_name,Description,brine_pump.conservative,brine_pump.midpoint,brine_pump.optimistic,evaporation_pond.conservative,evaporation_pond.midpoint,evaporation_pond.optimistic,blasting_generic.conservative,blasting_generic.midpoint,blasting_generic.optimistic,excavation_loading_generic.conservative,excavation_loading_generic.midpoint,excavation_loading_generic.optimistic,crushing_cycle.conservative,crushing_cycle.midpoint,crushing_cycle.optimistic,attrition_scrubber,classifier_generic.conservative,classifier_generic.midpoint,classifier_generic.optimistic,high_energy_grinding_mill,sulfuric_acid_roaster,sulfate_roasting_train_lepidolite,calciner_generic,acid_leach_circuit.conservative,acid_leach_circuit.midpoint,acid_leach_circuit.optimistic,water_leach,chlor-alkali_leach_circuit,cstr_generic,solid_liquid_separation,thickener_generic,multi_stage_ccd_thickening,presser,two_stage_neutralizing_circuit,staged_neutralization,liming_system,sx_generic,ix_generic,dle_adsorption,strip_elution_circuit,precipitator.conservative,precipitator.midpoint,precipitator.optimistic,batch_treatment_generic,wash_purify_combo,boron_removal,ion_exchange_polishing,recrystallization,drying_packaging_generic,drying_packaging_propane,tailings_management_generic,reinjection
machine_block_type,,Extraction,,,,,,,,,,,,Communition / Beneficiation,,,,,,,,Thermal Conversion / Roasting,,,Leaching / Dissolution,,,,,,"Solid-liquid separation (Thickening, CCD, filtration)",,,,Primary Conditioning & Neutralization,,,Li Capture & Separation,,,,Conversion to product,,,,Washing and Polishing,,,,Drying & Finishing,,Residue & Disposal,
block_long_name,,Brine Pump-Well System,Brine Pump-Well System,Brine Pump-Well System,Generic Evaporation Pond system,Generic Evaporation Pond system,Generic Evaporation Pond system,"Blasting Generic, conservative","Blasting Generic, midpoint","Blasting Generic, optimistic",Excavation & Loading Combo,Excavation & Loading Combo,Excavation & Loading Combo,Crusher,Crusher,Crusher,Attrition Scrubber,Classifier,Classifier,Classifier,High Energy Grinding Mill,,"Lepidolite sulfate roasting train (conditioning, drying, roasting, heat recovery, discharge to water leach)",,Acid Leach Circuit,Acid Leach Circuit,Acid Leach Circuit,Water Leach Circuit,,Continuous Stirred Tank Reactor,Solid-Liquid Separation Generic,Thickener,Multi-stage CCD + Leach Residue Thickening,Presser,Two-Stage Neutralizing Circuit,"Impurity removal, neutralization, pH adjustment. Includes clarification / removal of solids",Lime softening and hardness removal,Solvent Extraction Generic,Ion Exchange generic,Adsorption-based DLE,,Precipitator,Precipitator,Precipitator,Batch Treatment Generic,Washing and Purification,Boron Removal Circuit,,,Drying & packaging circuit,Drying & packaging circuit,,
notes,"Common processes this step is used in, other info",,,,,,,Need to add utility usage + determine capex,,,"Need to update to encompass all blocks, not just excavator","Need to update to encompass all blocks, not just excavator","Need to update to encompass all blocks, not just excavator",Need to aggregate across collected data & EverBatt reporting,Need to aggregate across collected data & EverBatt reporting,Need to aggregate across collected data & EverBatt reporting,,,,,,,Basis is wet cake at 80 wt% solids; train delivers a roasted calcine suitable for downstream water leach around 80°C; Dominant utility is thermal fuel for moisture removal + heating solids to roast temperature.,,,,,"Continuous, agitated leach of roasted calcine using water at ~80°C.",,,Solid–liquid separation (settling + filtration lumped),,,,,,,,,,,,,,,,,,,,,,
base_volume,"Reference scale, as a rate for continuous, or as a quantity for batch",72000,72000,72000,1,1,1,650,650,650,7,10,18,240,240,240,100,160,160,160,21,,10,,1100,1100,1100,60,,1,100000,100,100,60,100,100,50000,50000,,,,50000,50000,50000,100000,60,100000,,,2.5,2.5,,
base_volume_unit,"Not used directly in calculation, but should match with units of step_basis",L,L,L,m2,m2,m2,metric tonnes/h,metric tonnes/h,metric tonnes/h,tonnes/cycle,tonnes/cycle,tonnes/cycle,t/h,t/h,t/h,m^3/h,m^3/h,m^3/h,m^3/h,m^3/h,,t/h,,m^3/h,m^3/h,m^3/h,m^3/h,,L concentrated brine/h,L/h mixture equivalent (pseudo-continuous),m^3/h,m^3,m3 lithium slurry being pressed,m^3/h,m^3/h,L/h,L de-boronated concentrated brine/h,,,,L polished brine/h,L polished brine/h,L polished brine/h,L/batch concentrated brine,m3 Li2CO3 cake being washed/batch,L limed concentrated brine/h,,,tonnes Li2CO3 cake being dried & packed/h,tonnes Li2CO3 cake being dried & packed/h,,
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from. Needs to align with step_basis defined in target step. Units should be in base_volume_units,brine_pump_throughput,brine_pump_throughput,brine_pump_throughput,brine_evaporation_throughput,brine_evaporation_throughput,brine_evaporation_throughput,rock_blast_throughput,rock_blast_throughput,rock_blast_throughput,loose_rock_throughput,loose_rock_throughput,loose_rock_throughput,crushed_ore_throughput,crushed_ore_throughput,crushed_ore_throughput,scrubbed_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,classified_slurry_throughput,,,roasting_mix,,leach_slurry_throughput,leach_slurry_throughput,leach_slurry_throughput,leaching_slurry,,brine_lime_throughput,mixture_being_separated,thickener_feed_throughput,CCD_feed_throughput,slurry_press_throughput,neutralizing_throughput,pregnant_solution_throughput,brine_liming_throughput,brine_SX_throughput,,,,polish_brine_throughput,polish_brine_throughput,polish_brine_throughput,concentrated_brine_throughput,cake_wash_throughput,brine_deboron_throughput,,,cake_dry_throughput,cake_dry_throughput,,
oversizing_factor,Process volume ≠ design volume,,,,1,1,1,1,1,1,,,,1,1,1,1.15,1,1,1,1.2,,1.2,,1.15,1.15,1.15,1.2,,,1.15,1.15,1.15,1.25,1.15,1.15,1.2,,,,,1.2,1.2,1.2,1.15,1.25,,,,1,1,,
yield_rate,Yield Rate,,,,,,,,,,,,,0.99,0.99,0.99,0.995,0.92,0.92,0.92,0.995,,0.95,,0.9,0.9,0.9,0.95,,0.9,0.995,0.995,0.99,1,0.99,0.95,0.95,0.9,,,,0.64,0.76,0.84,1,0.98,0.95,,,0.995,0.995,,
scaling_exponent_throughput,Exponent for operations vis-a-vis process rate,,,,1,1,1,1,1,1,,,,0.65,0.65,0.65,1,0.67,0.67,0.67,1,,0.7,,1,1,1,0.7,,0.7,0.7,1,1,1,1,1,1,0.7,,,,0.6,0.6,0.6,0.7,1,0.7,,,1,1,,
process_type,continuous or batch,batch,batch,batch,batch,batch,batch,continuous,continuous,continuous,batch,batch,batch,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,,continuous,,continuous,continuous,continuous,continuous,,continuous,continuous,continuous,continuous,batch,continuous,continuous,continuous,continuous,,,,continuous,continuous,continuous,batch,batch,continuous,,,continuous,continuous,,
