variable_name,Description,Crushing,Attrition Scrubbing,Classification,Thickening (to ~55 wt% solids leach feed),Acid Leaching (at ~33 wt% solids after adding acid + liquid),Neutralization,Primary CCD / Leach Residue Thickening (multistage),Impurity Removal and Neutralization
step_id,Step ID (unique),crushing,scrubbing,classifying,thickening,acid_leaching,neutralization,ccd,impurity_removal
step_name,Human-readable process step,Crushing,Attrition Scrubbing,Classification,Thickening,Acid Leaching,neutralization,Primary CCD / Leach Residue Thickening,Impurity Removal
key_equation,"Key equation, chemical or physical, evaluated in this step.",N/A (mechanical),"N/A (mechanical). However, inputs to this step are: crushed claystone, recycled coarse materials, recycled water, and makeup water. Assuming a target of ~30 wt% solids, a grain density of 2.6 t/m3 and water density of 1 t/m3. r_mix = 1 / (w_s / rho_s + (1 - w_s) / (rho_water)) --> conversion factor is 1/(w_s*r_mix). Assuming 20% of this comes from the recycling in step 3, we have a conversion factor of ≈3.40",N/A (size separation),N/A (Solid-liquid settling),"Acid leaching of Li-bearing clays (simplified): Li₂O·nSiO₂·mH₂O (s) + H₂SO₄ (aq) → Li₂SO₄ (aq) + nSiO₂ (s) + (m+1)H₂O. Other gangue elements (Al, Mg, Ca, Fe) form soluble sulfates or secondary solids.","Impurity precipitation / neutralization, e.g. Fe³⁺ + 3OH⁻ → Fe(OH)₃(s); Al³⁺ + 3OH⁻ → Al(OH)₃(s). Lithium remains mostly in solution.","N/A (multi-stage CCD solid–liquid separation and washing; no net chemistry beyond minor neutralization). Not present in Thacker Pass but in TLC, Bonnie Claire, previous Thacker pass disclosures.",Impurity precipitation / second-stage neutralization: Mg²⁺ + CO₃²⁻ → MgCO₃(s); Ca²⁺ + CO₃²⁻ → CaCO₃(s); Lithium remains mostly in solution.
notes,"Key information, notes","Primary & secondary crushing, generates crushed ore for wet circuit","Deagglomeration, create pumpable slurry",Hydrocyclones+screens to split coarse vs fine; assume coarse refeed to achieve input/output; fines feed thickener; output conversion factor tied to input of step 2 - see note in conversion factor there.,"Concentration of slurry, recovery of process water. From step 2, ~8.773 vol% are solids. With the corresponding densities, ~22.81 t are solid and ~91.23 t are liquid per 100 m3 (20 wt% solid). If ~22.81 t is to be ~55 wt%, then the total weight is 41.47 t --> water reduced from 91.23 t to 18.66 t ≈ 72.57 t to overflow; 41.47 t of 55wt% is 8.773+18.66 m3 ≈ 27.433 m3, thus this conversion factor of 0.27",Heated or ambient acid leach in agitated tanks; converts Li-bearing minerals to soluble Li sulfate solution while leaving gangue largely solid; output is leach slurry (solution + residue).,"Chemical removal of impurities (Fe, Al, etc.) via pH adjustment and precipitation",Counter-current decantation (CCD) of leach slurry to separate pregnant Li solution from residual solids and wash entrained Li from residue; produces pregnant leach solution (PLS) and leach residue to tailings.,"Chemical removal of impurities (Mg, Ca, etc.) via pH adjustment and precipitation; most significant deviation from Thacker Pass flowsheet (where Mg is recycled via crystallization). Produces purified Li solution for downstream recovery and an impurity sludge for disposal. Includes thickening."
machine_options,,crushing_cycle.conservative; crushing_cycle.midpoint; crushing_cycle.optimistic,attrition_scrubber,classifier_generic.conservative; classifier_generic.midpoint; classifier_generic.optimistic,thickener_generic,acid_leach_circuit.conservative; acid_leach_circuit.midpoint; acid_leach_circuit.optimistic,staged_neutralization,multi_stage_ccd_thickening,staged_neutralization
machine_default,,crushing_cycle.midpoint,attrition_scrubber,classifier_generic.midpoint,thickener_generic,acid_leach_circuit.midpoint,staged_neutralization,multi_stage_ccd_thickening,staged_neutralization
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from,crushed_ore_throughput,scrubbed_slurry_throughput,classified_slurry_throughput,thickener_feed_throughput,leach_slurry_throughput,pls_being_neutralized,CCD_feed_throughput,pregnant_solution_throughput
step_basis_unit,,tonnes crushed ore,m^3 slurry at 20% solids,"m^3 slurry being classified, 20% solids",m^3 20% density slurry to be thickened,m^3 leach slurry throughput at 34% solids density,m^3 pls throughput at 34% solids density,m^3 neutralized PLS throughput at ~34% solids density,m^3 pregnant solution
step_ccf,Constituent conversion factor from constituent units to step_basis units,0.001,0.0003679,0.0002281,0.0001653,0.0004300,0.0004300,0.0004300,0.00105
