variable_name,Description,Crushing,Classification & Flotation,Grinding,Dewatering,Sulfate Roasting,Water Leaching,Impurity Removal and Neutralization,Clarification
step_id,Step ID (unique),crushing,classifying,grinding,dewatering,sulfate_roasting,water_leach,impurity_removal,stream_clarification
step_name,Human-readable process step,Crushing,Classification,Grinding via mill,Dewatering to allow for high-temp roasting,Roasting of lepidolate with sulfate salts,Water leaching,Impurity Removal,Lithium Stream Clarification
key_equation,"Key equation, chemical or physical, evaluated in this step.",N/A (mechanical),N/A (size separation),N/A (mechanical).,Mechanical dewatering from 60% to 80% slurry.,,,"Impurity precipitation / neutralization, e.g. Fe³⁺ + 3OH⁻ → Fe(OH)₃(s); Mg²⁺ + CO₃²⁻ → MgCO₃(s); Ca²⁺ + CO₃²⁻ → CaCO₃(s); Al³⁺ + 3OH⁻ → Al(OH)₃(s). Lithium remains mostly in solution.",
notes,"Key information, notes","Primary & secondary crushing, generates crushed ore for wet circuit",Hydrocyclones+screens to split coarse vs fine; assume coarse refeed to achieve input/output; fines feed thickener,,"Go from 40% water slurry to 20% water cake. 60% slurry has density of 1/(0.60/2.7+0.4/1) = 1.607 --> 0.6*1.607 = 0.965 t/m3 solids. At 80% cake, new density is 0.964/0.8 = 1.205 t/m3; water goes from 0.643 t/m3 --> 0.241 t/m3, or ~0.4 t/m3≈0.4 m3/m3 water removed from intermediate slurry ",,,"Chemical removal of impurities (Mg, Ca, Fe, Al, etc.) via pH adjustment and precipitation; produces purified Li solution for downstream recovery and an impurity sludge for disposal.",
machine_options,,crushing_cycle.conservative; crushing_cycle.midpoint; crushing_cycle.optimistic,classifier_generic.conservative; classifier_generic.midpoint; classifier_generic.optimistic,high_energy_grinding_mill,presser,sulfate_roasting_train_lepidolite,water_leach,staged_neutralization,solid_liquid_separation
machine_default,,crushing_cycle.midpoint,classifier_generic.midpoint,high_energy_grinding_mill,presser,sulfate_roasting_train_lepidolite,water_leach,staged_neutralization,solid_liquid_separation
step_basis,Name of the intermediate volume inputs are aggregated into and outputs produced from,crushed_ore_throughput,classified_slurry_throughput,slurry_being_ground,slurry_press_throughput,roasting_mix,leaching_slurry,pregnant_solution_throughput,mixture_being_separated
step_basis_unit,,tonnes crushed ore,m^3 slurry (30wt%),m^3 slurry (60wt%),m^3 slurry being pressed into cake,"tonnes (80% solids cake being dried, roasted, and cooled)",m^3 20wt% solid slurry,m^3 raw pregnant leach solution,m^3 pregant leach solution being clarified
step_ccf,Constituent conversion factor from constituent units to step_basis units,0.001,0.0003699,0.0009643,0.0009643,0.0005263,0.0001507,0.0002288,0.0002288
